fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
4.5,2011-10-21 23:54:10 UTC,-73.99058000000002,40.761071,-73.981128,40.758634,2
12.0,2015-02-03 10:42:03 UTC,-73.9884033203125,40.72343063354492,-73.9896469116211,40.741695404052734,1
6.5,2014-03-16 18:58:58 UTC,-74.015785,40.71511,-74.012029,40.707888,2
6.5,2009-06-13 16:10:54 UTC,-73.977322,40.787275,-73.95803000000002,40.778838,3
11.0,2014-06-12 03:25:56 UTC,-73.989683,40.729717,-73.98249,40.761887,3
6.1,2011-07-16 01:19:59 UTC,-73.99763100000001,40.721805,-74.009757,40.709941,1
6.1,2009-06-27 18:15:00 UTC,-73.95474300000002,40.789303,-73.96475500000003,40.773345,1
5.0,2009-01-23 20:38:16 UTC,-73.982279,40.764668,-73.990323,40.756427,1
4.5,2010-08-09 14:46:03 UTC,-73.965039,40.769972,-73.955365,40.779438,1
6.9,2011-09-29 21:56:45 UTC,-73.98657,40.734727,-74.003757,40.741951,1
6.1,2009-02-09 22:26:00 UTC,-73.953742,40.77404,-73.96987,40.785605,1
16.9,2010-11-03 21:07:00 UTC,-73.982057,40.76879,-73.949467,40.83023,1
15.7,2009-11-23 05:18:00 UTC,-73.983368,40.727033,-73.953655,40.666835,4
8.5,2012-04-02 21:08:02 UTC,-74.005307,40.728124,-73.979042,40.741986,1
8.5,2009-12-14 20:28:45 UTC,-73.970473,40.783983,-73.96786,40.762692,1
9.0,2014-03-30 01:52:38 UTC,-73.951788,40.714289,-73.952272,40.694019,2
12.1,2009-07-01 03:24:53 UTC,-73.999353,40.761494,-73.953128,40.768081,1
9.5,2013-08-01 01:00:25 UTC,-74.001532,40.730875,-73.978048,40.764719,1
4.9,2012-03-17 10:39:05 UTC,-73.966994,40.757627,-73.967327,40.766001,1
17.0,2013-11-01 20:41:00 UTC,-73.96703199999997,40.803832,-73.973962,40.754712,2
7.0,2014-04-21 17:48:35 UTC,-73.98850300000002,40.731349,-73.97951,40.748828,1
8.1,2012-01-07 17:53:00 UTC,-73.9585,40.81014,-73.978187,40.778183,4
4.1,2011-06-16 15:06:00 UTC,-73.966323,40.761512,-73.957015,40.768288,1
10.5,2011-03-05 20:25:00 UTC,-73.989962,40.767048,-73.950755,40.776633,1
10.0,2012-10-08 09:09:39 UTC,-73.95843,40.781613,-73.98593199999998,40.770163,1
7.0,2014-05-21 18:46:00 UTC,-73.979752,40.766,-73.98570500000002,40.756777,1
28.5,2014-02-11 21:21:00 UTC,-73.994117,40.75905,-73.942337,40.847027,1
4.9,2011-07-09 23:12:00 UTC,-73.980308,40.780442,-73.972903,40.795217,5
10.1,2011-12-14 12:03:14 UTC,-73.980436,40.770263,-73.953017,40.783132,1
6.1,2012-02-12 12:09:15 UTC,-73.95154000000002,40.769698,-73.966601,40.753667,1
4.1,2012-02-16 20:05:00 UTC,-73.956138,40.778872,-73.956138,40.778872,1
5.0,2013-06-02 22:37:00 UTC,-73.98824499999998,40.721392,-73.985472,40.728432,5
10.5,2011-05-21 15:31:00 UTC,-73.991792,40.728907,-73.996385,40.732162,5
4.0,2013-06-09 10:51:02 UTC,-73.979015,40.782242,-73.974654,40.787831,1
8.9,2010-12-12 09:36:40 UTC,-73.954822,40.769675,-73.985012,40.754911,1
9.5,2014-03-09 19:57:00 UTC,-73.991192,40.719572,-73.995005,40.73982700000001,1
15.5,2014-04-13 18:21:25 UTC,-73.98218299999998,40.778162,-73.987844,40.739034,1
8.1,2012-02-25 23:51:00 UTC,-73.98186,40.74077,-73.956567,40.76291,2
13.0,2014-06-11 20:33:00 UTC,-73.995867,40.740137,-73.99027,40.719647,1
5.0,2014-06-07 12:32:38 UTC,-73.993543,40.745531,-73.988485,40.74348,2
3.5,2013-11-24 11:03:00 UTC,-73.95257,40.780597,-73.95685999999998,40.780557,2
13.7,2012-04-13 19:32:29 UTC,-73.94960999999998,40.780448,-73.988601,40.750184,1
27.0,2014-12-26 02:54:50 UTC,-73.988074,40.759996,-73.932711,40.68616,2
4.9,2011-02-23 20:05:00 UTC,-73.983152,40.759965,-73.990977,40.750183,5
11.7,2010-06-12 14:04:00 UTC,-73.97636700000002,40.785712,-73.945977,40.834342,1
8.0,2012-11-27 06:34:59 UTC,-73.966911,40.756922,-73.988322,40.746202,1
77.65,2014-05-13 10:47:00 UTC,-73.99034,40.732062,-74.177122,40.694702,1
14.5,2010-09-08 17:53:00 UTC,-73.95829300000003,40.77287000000001,-73.98029,40.76734,2
7.7,2009-12-02 12:05:00 UTC,-73.952665,40.786277,-73.959088,40.771748,1
13.7,2012-04-05 19:47:00 UTC,-74.015505,40.715532,-73.988562,40.755055,1
17.5,2013-08-13 21:02:15 UTC,-74.017554,40.708111,-73.984703,40.779559000000006,1
17.0,2014-12-31 23:17:00 UTC,-74.002055,40.739512,-73.952252,40.786792,1
5.5,2014-07-01 10:46:00 UTC,-73.968713,40.761565,-73.974295,40.75502,1
9.7,2011-10-25 22:12:00 UTC,-74.006652,40.730245,-73.9766,40.756485,2
7.3,2009-12-16 07:13:00 UTC,-73.97434,40.731742,-73.97539300000003,40.755197,5
2.5,2010-12-04 00:51:18 UTC,-73.960848,40.769835,-73.96059100000002,40.769869,1
14.9,2011-03-12 22:50:38 UTC,-73.950903,40.779155,-73.99585,40.743952,1
28.0,2015-04-02 04:02:22 UTC,-73.98137664794923,40.765926361083984,-73.85579681396483,40.70961380004883,1
6.0,2013-04-26 19:47:48 UTC,-73.9894,40.731012,-74.002916,40.734055,1
20.0,2013-12-29 17:09:12 UTC,-73.983385,40.750232,-73.991945,40.699665,1
7.7,2010-08-15 14:35:45 UTC,-73.995999,40.764818,-73.986998,40.75565,1
17.7,2010-01-06 00:06:00 UTC,-74.00109,40.741875,-73.977468,40.664878,1
17.3,2011-09-17 01:40:26 UTC,-73.9857,40.731,-73.969,40.7957,1
17.3,2009-07-06 05:56:52 UTC,-73.945723,40.782029,-73.87110799999998,40.774224,1
10.5,2009-04-20 06:07:14 UTC,-73.94657099999998,40.781555,-73.985739,40.740893,1
11.3,2011-03-16 13:04:42 UTC,-73.993608,40.757095,-74.00008100000002,40.722105,1
4.9,2010-02-21 17:38:49 UTC,-73.978921,40.740671,-73.989981,40.737913,1
6.9,2012-03-19 09:10:03 UTC,-74.00273299999998,40.747095,-73.982192,40.75767800000001,1
5.7,2009-12-06 11:58:32 UTC,-73.992526,40.74295,-73.983515,40.759224,2
5.0,2012-11-02 23:30:41 UTC,-73.95271899999999,40.727173,-73.958387,40.715274,1
18.0,2015-04-15 14:56:32 UTC,-73.99361419677734,40.752052307128906,-74.01507568359375,40.711238861083984,1
11.0,2013-04-10 10:24:57 UTC,-73.967104,40.77235200000001,-73.987311,40.762798,1
